image_id,breed_id,breed_name,species,class_index,relative_path,filename,width,height,sha256,md5,phash,split
BUF_BUFFALO_BANNI_0001,buffalo_banni,Banni,buffalo,0,dataset/expanded_82_breeds_v2/buffalo/buffalo_banni/banni_0001.jpg,banni_0001.jpg,650,550,638681a013197e9fedc3e0b6d432818c3b49104a3427db6c24c832e790360738,dd9e29adc1253655801dc2a48d37bec8,ff88c1b3bc498235,train
BUF_BUFFALO_BARGUR_0001,buffalo_bargur,Bargur,buffalo,1,dataset/expanded_82_breeds_v2/buffalo/buffalo_bargur/bargur_0001.jpg,bargur_0001.jpg,650,550,4cf82453815c118b09b65bdb9ecbcde4dea0c4bad6272f1998c598e49e275178,fc435e831d008a2ce0bac4da43f9e941,a668db973525493a,train
BUF_BUFFALO_BARGUR_0002,buffalo_bargur,Bargur,buffalo,1,dataset/expanded_82_breeds_v2/buffalo/buffalo_bargur/bargur_0002.jpg,bargur_0002.jpg,650,550,4432e52c80dceea916b0ff96ea6d3d2844ff535138b456606d6eb98aa1f439f7,fc1608254a52bf6933c92df5c062c3d9,eeeadec45181a50b,train
BUF_BUFFALO_BARGUR_0007,buffalo_bargur,Bargur,buffalo,1,dataset/expanded_82_breeds_v2/buffalo/buffalo_bargur/bargur_0007.jpg,bargur_0007.jpg,160,240,83dc10e330409b8d69f1943fcfa16729c66385364928bc562cf4046b2a3980a3,eb1fdb31ac709b3b9016101093ce63df,901f6b614fbe429c,train
BUF_BUFFALO_BARGUR_0004,buffalo_bargur,Bargur,buffalo,1,dataset/expanded_82_breeds_v2/buffalo/buffalo_bargur/bargur_0004.jpg,bargur_0004.jpg,1600,1200,15d220e60d6691a5e8a6693d19b90835b80e6490d2c96c52ee9ed6899c2d7f39,8e896360dc80ff62b617520bd9338d12,d4e9abf68689106e,train
BUF_BUFFALO_BHADAWARI_0002,buffalo_bhadawari,Bhadawari,buffalo,2,dataset/expanded_82_breeds_v2/buffalo/buffalo_bhadawari/bhadawari_0002.jpg,bhadawari_0002.jpg,650,550,d5b390a20390bdb95eff275542625be87f6928becff19cf1c3df24fde4fa2f4d,0e5bfd216101fdf8df837b191dc4ad6b,ea3885c75518da6b,train
BUF_BUFFALO_CHHATTISGARHI_0002,buffalo_chhattisgarhi,Chhattisgarhi,buffalo,3,dataset/expanded_82_breeds_v2/buffalo/buffalo_chhattisgarhi/chhattisgarhi_0002.jpg,chhattisgarhi_0002.jpg,650,550,bd40473a741a29400cdea63baf92300048b9a268c4d0afbd722bb102eeeb2526,1d36cda16f4ca4981513850ceeed6dd3,fa3c876368389f05,train
BUF_BUFFALO_CHILIKA_0002,buffalo_chilika,Chilika,buffalo,4,dataset/expanded_82_breeds_v2/buffalo/buffalo_chilika/chilika_0002.jpg,chilika_0002.jpg,650,550,503ec558d8eaf19a45cea1dbc86b171bbf7ddf49f3a96de559fd110b6612aac8,4f1e840cfef97dc46d99e7d48ecd6dbc,bb60849f66607dc3,train
BUF_BUFFALO_DHARWADI_0002,buffalo_dharwadi,Dharwadi,buffalo,5,dataset/expanded_82_breeds_v2/buffalo/buffalo_dharwadi/dharwadi_0002.jpg,dharwadi_0002.jpg,650,550,5d21dd8813ea2c35cd488a3213978eb0ef970b3c7838f463fd19d138386ff387,b4e13cf3b2de65314ebc6f6c8542cb21,aef9d294398a86ac,train
BUF_BUFFALO_GOJRI_0002,buffalo_gojri,Gojri,buffalo,6,dataset/expanded_82_breeds_v2/buffalo/buffalo_gojri/gojri_0002.jpg,gojri_0002.jpg,650,550,4cc95c53cad507e03a9ff9939ec17aef64fd9a079638c468ca56ee0c4be86735,0107d7b0defeb3ab1bf99ccb860f30bb,bc1d95f0f80e93e0,train
BUF_BUFFALO_GOMANCHALI_0001,buffalo_gomanchali,Gomanchali,buffalo,7,dataset/expanded_82_breeds_v2/buffalo/buffalo_gomanchali/gomanchali_0001.jpg,gomanchali_0001.jpg,881,661,4d8446f95adb835e5993e6263ffe3f4277c6cac7cd3e0ec13b2bc4c0071777a3,5e2867be551329c2cec0ea844d8735b4,a311d2eab5c02cbf,train
BUF_BUFFALO_JAFFARABADI_0002,buffalo_jaffarabadi,Jaffarabadi,buffalo,8,dataset/expanded_82_breeds_v2/buffalo/buffalo_jaffarabadi/jaffarabadi_0002.jpg,jaffarabadi_0002.jpg,1799,1198,392d855bd73c2a59687cdd5c3a3fdc7fb8aeaf2a7a06066353c2eaa366810211,979427d9fafc26caa6f5c7864a3ff10e,859cca5b75d5a183,train
BUF_BUFFALO_KALAHANDI_0002,buffalo_kalahandi,Kalahandi,buffalo,9,dataset/expanded_82_breeds_v2/buffalo/buffalo_kalahandi/kalahandi_0002.jpg,kalahandi_0002.jpg,650,550,440868f7a04cc50b81b666bfed32754646543c1084faa2e4b0afc017c089a55d,c5b31a6d85b051188c567badd0b5a743,fc5313363b83c585,train
BUF_BUFFALO_LUIT_SWAMP_0002,buffalo_luit_swamp,Luit (Swamp),buffalo,10,dataset/expanded_82_breeds_v2/buffalo/buffalo_luit_swamp/luit_swamp_0002.jpg,luit_swamp_0002.jpg,650,550,cce8fd5ce311fd45e6362a2948da42eedf3fff53e91a68a6c320f47b5aca4011,8246ffd4e44dd747e895aaa3a30c140a,babc9dcbe4641161,train
BUF_BUFFALO_MANAH_0002,buffalo_manah,Manah,buffalo,11,dataset/expanded_82_breeds_v2/buffalo/buffalo_manah/manah_0002.jpg,manah_0002.jpg,650,550,01976fa4fa2db3ccdc5cbf0185a2e12715a5fe691914703629f9d3e035538426,7456dc3b00436243749243729f0ee6b9,eb9c94d36068391f,train
BUF_BUFFALO_MANDA_0029,buffalo_manda,Manda,buffalo,12,dataset/expanded_82_breeds_v2/buffalo/buffalo_manda/manda_0029.jpg,manda_0029.jpg,2736,2060,93ea0ef45d032decc6d782a069660e498203f667d9fa0de2ea75397b7418e686,ff58a1ad9c04447e868565b9eccf5ecc,ff478a6c183c9d12,train
BUF_BUFFALO_MANDA_0017,buffalo_manda,Manda,buffalo,12,dataset/expanded_82_breeds_v2/buffalo/buffalo_manda/manda_0017.jpg,manda_0017.jpg,2535,1690,3ccc3a6ef92441d4258a43211720c5724e7ba8c30fa2d726190877ead3751c9b,7a034876a00122a9541198b6c5bdb01c,e493dd6d12e54a85,train
BUF_BUFFALO_MANDA_0025,buffalo_manda,Manda,buffalo,12,dataset/expanded_82_breeds_v2/buffalo/buffalo_manda/manda_0025.jpg,manda_0025.jpg,6368,3980,32214509c277aac7405ea8f68c884bc3e82a7fa52bb326a24992afa4b95d60fa,81b9cf8346953856f69e138f9303be58,bec5851e32cac9a5,train
BUF_BUFFALO_MANDA_0019,buffalo_manda,Manda,buffalo,12,dataset/expanded_82_breeds_v2/buffalo/buffalo_manda/manda_0019.jpg,manda_0019.jpg,3894,3894,9bcdbb14b3d5fc1c008113c0258b1f52350f612e6f2ef7b9c6fa7e80b45a1dce,ea36d60533190172069d9ff02a7351eb,b4cac276489bb6b4,train
BUF_BUFFALO_MANDA_0010,buffalo_manda,Manda,buffalo,12,dataset/expanded_82_breeds_v2/buffalo/buffalo_manda/manda_0010.jpg,manda_0010.jpg,4250,2834,8004da732618d1854b831c1686f3a68ec78c29611347428de5c4d4b89c1fd6ac,26741004b0545d2877798dd7b1575adc,a69bd8e0b29f8dc0,train
