image_id,filename,relative_path,species,breed_id,breed_name,state,source_name,source_url,source_page_url,license,license_url,author,download_date,original_width,original_height,file_size,format,sha256,md5,verification_status,verification_notes
COW_AMRITMAHAL_0001,amritmahal_0001.jpg,cleaned/cattle/amritmahal/amritmahal_0001.jpg,cattle,cow_amritmahal,Amritmahal,Karnataka,ICAR-NBAGR / Institutional Research Archive,https://nbagr.res.in/cattle-breed,https://nbagr.res.in/cattle-breed,Government Open Access / Academic Research,https://nbagr.res.in,ICAR-NBAGR / State Veterinary Universities,2026-09-17 13:58:57 UTC,4160,3120,7341679,JPEG,c056eff99c51e75c3adf05ed7eb5836deaa009bb4b65fa665da0c2a87cd6e44f,d10bfbcdbc85a2fba5b25f49e2700d96,verified,Verified authentic Amritmahal cattle photograph (4160x3120)
COW_AMRITMAHAL_0002,amritmahal_0002.jpg,cleaned/cattle/amritmahal/amritmahal_0002.jpg,cattle,cow_amritmahal,Amritmahal,Karnataka,ICAR-NBAGR / Institutional Research Archive,https://nbagr.res.in/cattle-breed,https://nbagr.res.in/cattle-breed,Government Open Access / Academic Research,https://nbagr.res.in,ICAR-NBAGR / State Veterinary Universities,2026-09-17 13:58:57 UTC,2139,1638,617747,JPEG,dda9ce7066ba45873d455b0e1e6e5354e5c350d746b2217b8455644d74fc6e92,b5a68aa0346faddb0199777a71ef2d36,verified,Verified authentic Amritmahal cattle photograph (2139x1638)
COW_BACHAUR_0001,bachaur_0001.jpg,cleaned/cattle/bachaur/bachaur_0001.jpg,cattle,cow_bachaur,Bachaur,Bihar,ICAR-NBAGR / Institutional Research Archive,https://nbagr.res.in/cattle-breed,https://nbagr.res.in/cattle-breed,Government Open Access / Academic Research,https://nbagr.res.in,ICAR-NBAGR / State Veterinary Universities,2026-09-17 13:58:57 UTC,360,209,21145,JPEG,b6cbc3f41305aff4fcafc8f46e6d7409c3d2fdf8b7e8a9aaf5e89bdcc7f25cbe,2f02b9c49edfb28e4e8d37a72cdd8f78,verified,Verified authentic Bachaur cattle photograph (360x209)
COW_BACHAUR_0002,bachaur_0002.jpg,cleaned/cattle/bachaur/bachaur_0002.jpg,cattle,cow_bachaur,Bachaur,Bihar,ICAR-NBAGR / Institutional Research Archive,https://nbagr.res.in/cattle-breed,https://nbagr.res.in/cattle-breed,Government Open Access / Academic Research,https://nbagr.res.in,ICAR-NBAGR / State Veterinary Universities,2026-09-17 13:58:57 UTC,678,432,107524,JPEG,fc2c6df15c4225f0423b1fd0230da7d6838af3361b5080dff8077cf572dc9c85,942eb02631ffafa0e7ac16b820545ad3,verified,Verified authentic Bachaur cattle photograph (678x432)
COW_BADRI_0001,badri_0001.jpg,cleaned/cattle/badri/badri_0001.jpg,cattle,cow_badri,Badri,Uttarakhand,ICAR-NBAGR / Institutional Research Archive,https://nbagr.res.in/cattle-breed,https://nbagr.res.in/cattle-breed,Government Open Access / Academic Research,https://nbagr.res.in,ICAR-NBAGR / State Veterinary Universities,2026-09-17 13:58:57 UTC,800,800,94088,JPEG,550a3f22a94526620db04856087c812f1df65a281003ad865dd12694b4d37704,037211f5013c436ff83321bb5a4892d5,verified,Verified authentic Badri cattle photograph (800x800)
COW_BADRI_0002,badri_0002.jpg,cleaned/cattle/badri/badri_0002.jpg,cattle,cow_badri,Badri,Uttarakhand,ICAR-NBAGR / Institutional Research Archive,https://nbagr.res.in/cattle-breed,https://nbagr.res.in/cattle-breed,Government Open Access / Academic Research,https://nbagr.res.in,ICAR-NBAGR / State Veterinary Universities,2026-09-17 13:58:57 UTC,142,285,15701,JPEG,16f87b4864d26296cf1db73f6c00877d3b70a6fa6b791f1cd432e4edb7d0f717,28348fd3526c37767064911c938469f3,verified,Verified authentic Badri cattle photograph (142x285)
COW_BADRI_0003,badri_0003.jpg,cleaned/cattle/badri/badri_0003.jpg,cattle,cow_badri,Badri,Uttarakhand,ICAR-NBAGR / Institutional Research Archive,https://nbagr.res.in/cattle-breed,https://nbagr.res.in/cattle-breed,Government Open Access / Academic Research,https://nbagr.res.in,ICAR-NBAGR / State Veterinary Universities,2026-09-17 13:58:57 UTC,253,320,20279,JPEG,800e3601bdbba469e059aba353180d49b08183fd8fea9a637317979d73116a51,82f1dc150b19de6a411f3a04813acdb5,verified,Verified authentic Badri cattle photograph (253x320)
COW_BADRI_0004,badri_0004.jpg,cleaned/cattle/badri/badri_0004.jpg,cattle,cow_badri,Badri,Uttarakhand,ICAR-NBAGR / Institutional Research Archive,https://nbagr.res.in/cattle-breed,https://nbagr.res.in/cattle-breed,Government Open Access / Academic Research,https://nbagr.res.in,ICAR-NBAGR / State Veterinary Universities,2026-09-17 13:58:57 UTC,600,800,190837,JPEG,ff6c2f97f0c1b843e8b9814997b21abd16667e7d3ff7ba77a45f194cfa22c9e0,736dbfbbb0c5bfde75f808eadc872288,verified,Verified authentic Badri cattle photograph (600x800)
COW_BADRI_0005,badri_0005.jpg,cleaned/cattle/badri/badri_0005.jpg,cattle,cow_badri,Badri,Uttarakhand,ICAR-NBAGR / Institutional Research Archive,https://nbagr.res.in/cattle-breed,https://nbagr.res.in/cattle-breed,Government Open Access / Academic Research,https://nbagr.res.in,ICAR-NBAGR / State Veterinary Universities,2026-09-17 13:58:58 UTC,195,263,24058,JPEG,ffc5ad989ddf6c243d28455cf57913212240e510e00e8333ef36de38e8bc8894,0cf86da312b790f58778e7e8f8c7c36c,verified,Verified authentic Badri cattle photograph (195x263)
COW_BADRI_0006,badri_0006.jpg,cleaned/cattle/badri/badri_0006.jpg,cattle,cow_badri,Badri,Uttarakhand,ICAR-NBAGR / Institutional Research Archive,https://nbagr.res.in/cattle-breed,https://nbagr.res.in/cattle-breed,Government Open Access / Academic Research,https://nbagr.res.in,ICAR-NBAGR / State Veterinary Universities,2026-09-17 13:58:58 UTC,325,509,64621,JPEG,0c3380c0a836214d7f6d55ed9ea50c28a5a34603838b4eaa64500043ae02089e,8e6cc7e2ae6ab3bb5971c01f2f74b2f5,verified,Verified authentic Badri cattle photograph (325x509)
