image_id,relative_path,species,breed_id,breed_name
BUF_BANNI_0001,cleaned/buffalo/banni/banni_0001.jpg,buffalo,buffalo_banni,Banni
BUF_BARGUR_0001,cleaned/buffalo/bargur/bargur_0001.jpg,buffalo,buffalo_bargur,Bargur
BUF_BHADAWARI_0001,cleaned/buffalo/bhadawari/bhadawari_0001.jpg,buffalo,buffalo_bhadawari,Bhadawari
BUF_CHHATTISGARHI_0001,cleaned/buffalo/chhattisgarhi/chhattisgarhi_0001.jpg,buffalo,buffalo_chhattisgarhi,Chhattisgarhi
BUF_CHILIKA_0001,cleaned/buffalo/chilika/chilika_0001.jpg,buffalo,buffalo_chilika,Chilika
BUF_DHARWADI_0001,cleaned/buffalo/dharwadi/dharwadi_0001.jpg,buffalo,buffalo_dharwadi,Dharwadi
BUF_GOJRI_0001,cleaned/buffalo/gojri/gojri_0001.jpg,buffalo,buffalo_gojri,Gojri
BUF_GOMANCHALI_0001,cleaned/buffalo/gomanchali/gomanchali_0001.jpg,buffalo,buffalo_gomanchali,Gomanchali
BUF_JAFFARABADI_0001,cleaned/buffalo/jaffarabadi/jaffarabadi_0001.jpg,buffalo,buffalo_jaffarabadi,Jaffarabadi
BUF_KALAHANDI_0001,cleaned/buffalo/kalahandi/kalahandi_0001.jpg,buffalo,buffalo_kalahandi,Kalahandi
BUF_LUIT_SWAMP_0001,cleaned/buffalo/luit_swamp/luit_swamp_0001.jpg,buffalo,buffalo_luit_swamp,Luit (Swamp)
BUF_MANAH_0001,cleaned/buffalo/manah/manah_0001.jpg,buffalo,buffalo_manah,Manah
BUF_MANDA_0001,cleaned/buffalo/manda/manda_0001.jpg,buffalo,buffalo_manda,Manda
BUF_MANDA_0002,cleaned/buffalo/manda/manda_0002.jpg,buffalo,buffalo_manda,Manda
BUF_MANDA_0003,cleaned/buffalo/manda/manda_0003.jpg,buffalo,buffalo_manda,Manda
BUF_MANDA_0004,cleaned/buffalo/manda/manda_0004.jpg,buffalo,buffalo_manda,Manda
BUF_MANDA_0006,cleaned/buffalo/manda/manda_0006.jpg,buffalo,buffalo_manda,Manda
BUF_MANDA_0007,cleaned/buffalo/manda/manda_0007.jpg,buffalo,buffalo_manda,Manda
BUF_MANDA_0008,cleaned/buffalo/manda/manda_0008.jpg,buffalo,buffalo_manda,Manda
BUF_MANDA_0009,cleaned/buffalo/manda/manda_0009.jpg,buffalo,buffalo_manda,Manda
BUF_MANDA_0010,cleaned/buffalo/manda/manda_0010.jpg,buffalo,buffalo_manda,Manda
BUF_MANDA_0011,cleaned/buffalo/manda/manda_0011.jpg,buffalo,buffalo_manda,Manda
BUF_MANDA_0012,cleaned/buffalo/manda/manda_0012.jpg,buffalo,buffalo_manda,Manda
BUF_MANDA_0013,cleaned/buffalo/manda/manda_0013.jpg,buffalo,buffalo_manda,Manda
