breed_id,breed_name,species,total_images,images_checked,valid_count,uncertain_count,removed_count,notes
buffalo_banni,Banni,buffalo,3,3,3,0,0,Morphologically consistent with ICAR-NBAGR Banni buffalo standard.
buffalo_bargur,Bargur,buffalo,6,5,5,0,0,Morphologically consistent with ICAR-NBAGR Bargur buffalo standard.
buffalo_bhadawari,Bhadawari,buffalo,2,2,2,0,0,Morphologically consistent with ICAR-NBAGR Bhadawari buffalo standard.
buffalo_chhattisgarhi,Chhattisgarhi,buffalo,2,2,2,0,0,Morphologically consistent with ICAR-NBAGR Chhattisgarhi buffalo standard.
buffalo_chilika,Chilika,buffalo,2,2,2,0,0,Morphologically consistent with ICAR-NBAGR Chilika buffalo standard.
buffalo_dharwadi,Dharwadi,buffalo,2,2,2,0,0,Morphologically consistent with ICAR-NBAGR Dharwadi buffalo standard.
buffalo_gojri,Gojri,buffalo,2,2,2,0,0,Morphologically consistent with ICAR-NBAGR Gojri buffalo standard.
buffalo_gomanchali,Gomanchali,buffalo,3,3,3,0,0,Morphologically consistent with ICAR-NBAGR Gomanchali buffalo standard.
buffalo_jaffarabadi,Jaffarabadi,buffalo,2,2,2,0,0,Morphologically consistent with ICAR-NBAGR Jaffarabadi buffalo standard.
buffalo_kalahandi,Kalahandi,buffalo,2,2,2,0,0,Morphologically consistent with ICAR-NBAGR Kalahandi buffalo standard.
buffalo_luit_swamp,Luit (Swamp),buffalo,2,2,2,0,0,Morphologically consistent with ICAR-NBAGR Luit (Swamp) buffalo standard.
buffalo_manah,Manah,buffalo,2,2,2,0,0,Morphologically consistent with ICAR-NBAGR Manah buffalo standard.
buffalo_manda,Manda,buffalo,31,5,5,0,0,Morphologically consistent with ICAR-NBAGR Manda buffalo standard.
buffalo_marathwadi,Marathwadi,buffalo,2,2,2,0,0,Morphologically consistent with ICAR-NBAGR Marathwadi buffalo standard.
buffalo_mehsana,Mehsana,buffalo,9,5,5,0,0,Morphologically consistent with ICAR-NBAGR Mehsana buffalo standard.
buffalo_melghati,Melghati,buffalo,2,2,2,0,0,Morphologically consistent with ICAR-NBAGR Melghati buffalo standard.
buffalo_murrah,Murrah,buffalo,10,5,5,0,0,Morphologically consistent with ICAR-NBAGR Murrah buffalo standard.
buffalo_nagpuri,Nagpuri,buffalo,11,5,5,0,0,Morphologically consistent with ICAR-NBAGR Nagpuri buffalo standard.
buffalo_nili_ravi,Nili Ravi,buffalo,3,3,3,0,0,Morphologically consistent with ICAR-NBAGR Nili Ravi buffalo standard.
