breed_name,precision,recall,f1-score,support
Banni,0.0,0.0,0.0,1.0
Bargur,0.0,0.0,0.0,1.0
Bhadawari,0.0,0.0,0.0,1.0
Chhattisgarhi,0.0,0.0,0.0,1.0
Chilika,0.0,0.0,0.0,1.0
Dharwadi,0.0,0.0,0.0,1.0
Gojri,1.0,1.0,1.0,1.0
Gomanchali,0.0,0.0,0.0,1.0
Jaffarabadi,0.0,0.0,0.0,1.0
Kalahandi,0.0,0.0,0.0,1.0
Luit (Swamp),0.0,0.0,0.0,1.0
Manah,0.0,0.0,0.0,1.0
Manda,0.5,0.6,0.5454545454545454,5.0
Marathwadi,0.0,0.0,0.0,1.0
Mehsana,0.0,0.0,0.0,1.0
Melghati,1.0,1.0,1.0,1.0
Murrah,0.25,1.0,0.4,2.0
Nagpuri,1.0,0.5,0.6666666666666666,2.0
Nili Ravi,0.0,0.0,0.0,1.0
Pandharpuri,0.0,0.0,0.0,1.0
Purnathadi,0.0,0.0,0.0,1.0
Surti,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
Toda,1.0,0.3333333333333333,0.5,3.0
Amritmahal,0.0,0.0,0.0,1.0
Bachaur,0.2,0.3333333333333333,0.25,3.0
Badri,0.5,0.6666666666666666,0.5714285714285714,3.0
Belahi,0.0,0.0,0.0,1.0
Binjharpuri,0.0,0.0,0.0,1.0
Dagri,0.0,0.0,0.0,1.0
Dangi,0.3076923076923077,0.6666666666666666,0.42105263157894735,6.0
Deoni,0.0,0.0,0.0,1.0
Gangatiri,0.0,0.0,0.0,1.0
Gaolao,0.2727272727272727,0.6,0.375,5.0
Ghumusari,0.0,0.0,0.0,0.0
Gir,0.3333333333333333,0.8,0.47058823529411764,5.0
Hallikar,0.0,0.0,0.0,1.0
Hariana,0.0,0.0,0.0,1.0
Himachali Pahari,0.0,0.0,0.0,1.0
Kangayam,0.4,0.6666666666666666,0.5,3.0
Kankrej,0.2,0.5,0.2857142857142857,2.0
Kathani,0.0,0.0,0.0,1.0
Kenkatha,0.0,0.0,0.0,1.0
Khariar,0.0,0.0,0.0,0.0
Kherigarh,0.0,0.0,0.0,1.0
Khillar,0.0,0.0,0.0,1.0
Konkan Kapila,0.0,0.0,0.0,1.0
Koppal,0.0,0.0,0.0,1.0
Kosali,0.0,0.0,0.0,0.0
Krishna Valley,0.0,0.0,0.0,1.0
Ladakhi,0.0,0.0,0.0,1.0
Lakhimi,0.0,0.0,0.0,1.0
Mahakaushali,0.0,0.0,0.0,1.0
Malnad Gidda,0.0,0.0,0.0,1.0
Malvi,0.0,0.0,0.0,1.0
Masilum,0.0,0.0,0.0,1.0
Medini,0.0,0.0,0.0,1.0
Mewati,1.0,1.0,1.0,1.0
Motu,0.0,0.0,0.0,1.0
Nagori,1.0,0.6666666666666666,0.8,3.0
Nari,0.0,0.0,0.0,1.0
Nimari,1.0,1.0,1.0,2.0
Ongole,0.3,0.75,0.42857142857142855,4.0
Periyar,0.0,0.0,0.0,1.0
Poda Thurpu,0.0,0.0,0.0,1.0
Ponwar,0.0,0.0,0.0,1.0
Pulikulam,0.0,0.0,0.0,1.0
Punganur,0.25,0.5,0.3333333333333333,2.0
Purnea,1.0,1.0,1.0,1.0
Rathi,0.0,0.0,0.0,1.0
Red Kandhari,0.0,0.0,0.0,1.0
Red Sindhi,0.0,0.0,0.0,1.0
Rohilkhandi,0.0,0.0,0.0,1.0
Sahiwal,1.0,0.3333333333333333,0.5,3.0
Sanchori,0.0,0.0,0.0,1.0
Shweta Kapila,0.0,0.0,0.0,1.0
Siri,1.0,0.6666666666666666,0.8,3.0
Tharparkar,0.0,0.0,0.0,2.0
Thutho,0.0,0.0,0.0,1.0
Umarda,0.0,0.0,0.0,1.0
Umblachery,0.0,0.0,0.0,1.0
Vechur,0.14285714285714285,0.3333333333333333,0.2,3.0
accuracy,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
macro avg,0.17060906573101692,0.18597560975609756,0.16318467111433205,123.0
weighted avg,0.2821547016668968,0.3333333333333333,0.2758660950668049,123.0
