image_id,relative_path,species,true_label,true_breed_name,predicted_label,predicted_breed_name,predicted_species,confidence,cross_species_error,in_top_3,top_3_summary
BUF_BANNI_0003,cleaned/buffalo/banni/banni_0003.jpg,buffalo,buffalo_banni,Banni,buffalo_toda,Toda,buffalo,0.219,False,False,Toda (21.9%) | Manda (11.9%) | Siri (9.0%)
BUF_BARGUR_0007,cleaned/buffalo/bargur/bargur_0007.jpg,buffalo,buffalo_bargur,Bargur,buffalo_surti,Surti,buffalo,0.278,False,False,Surti (27.8%) | Badri (16.7%) | Nagori (6.1%)
BUF_BHADAWARI_0002,cleaned/buffalo/bhadawari/bhadawari_0002.jpg,buffalo,buffalo_bhadawari,Bhadawari,buffalo_manda,Manda,buffalo,0.1261,False,False,Manda (12.6%) | Murrah (9.7%) | Gir (8.1%)
BUF_CHHATTISGARHI_0002,cleaned/buffalo/chhattisgarhi/chhattisgarhi_0002.jpg,buffalo,buffalo_chhattisgarhi,Chhattisgarhi,buffalo_manda,Manda,buffalo,0.4276,False,False,Manda (42.8%) | Murrah (11.3%) | Mehsana (4.8%)
BUF_CHILIKA_0002,cleaned/buffalo/chilika/chilika_0002.jpg,buffalo,buffalo_chilika,Chilika,buffalo_manda,Manda,buffalo,0.1882,False,False,Manda (18.8%) | Kankrej (7.3%) | Murrah (5.7%)
BUF_DHARWADI_0002,cleaned/buffalo/dharwadi/dharwadi_0002.jpg,buffalo,buffalo_dharwadi,Dharwadi,buffalo_manda,Manda,buffalo,0.128,False,False,Manda (12.8%) | Murrah (10.6%) | Gir (8.9%)
BUF_GOJRI_0002,cleaned/buffalo/gojri/gojri_0002.jpg,buffalo,buffalo_gojri,Gojri,cow_kankrej,Kankrej,cattle,0.0745,True,False,Kankrej (7.4%) | Gir (6.2%) | Manda (6.2%)
BUF_GOMANCHALI_0003,cleaned/buffalo/gomanchali/gomanchali_0003.jpg,buffalo,buffalo_gomanchali,Gomanchali,buffalo_manda,Manda,buffalo,0.2029,False,False,Manda (20.3%) | Siri (17.5%) | Nagori (15.2%)
BUF_JAFFARABADI_0002,cleaned/buffalo/jaffarabadi/jaffarabadi_0002.jpg,buffalo,buffalo_jaffarabadi,Jaffarabadi,buffalo_manda,Manda,buffalo,0.3282,False,False,Manda (32.8%) | Mehsana (8.7%) | Murrah (5.3%)
BUF_KALAHANDI_0002,cleaned/buffalo/kalahandi/kalahandi_0002.jpg,buffalo,buffalo_kalahandi,Kalahandi,buffalo_manda,Manda,buffalo,0.1654,False,False,Manda (16.5%) | Kankrej (7.5%) | Toda (7.1%)
BUF_LUIT_SWAMP_0002,cleaned/buffalo/luit_swamp/luit_swamp_0002.jpg,buffalo,buffalo_luit_swamp,Luit (Swamp),buffalo_manda,Manda,buffalo,0.3539,False,False,Manda (35.4%) | Murrah (11.2%) | Gir (5.4%)
BUF_MANAH_0002,cleaned/buffalo/manah/manah_0002.jpg,buffalo,buffalo_manah,Manah,buffalo_manda,Manda,buffalo,0.5247,False,False,Manda (52.5%) | Gir (7.6%) | Sahiwal (3.4%)
BUF_MANDA_0029,cleaned/buffalo/manda/manda_0029.jpg,buffalo,buffalo_manda,Manda,buffalo_mehsana,Mehsana,buffalo,0.2259,False,True,Mehsana (22.6%) | Manda (6.0%) | Murrah (4.8%)
BUF_MANDA_0031,cleaned/buffalo/manda/manda_0031.jpg,buffalo,buffalo_manda,Manda,buffalo_mehsana,Mehsana,buffalo,0.3236,False,True,Mehsana (32.4%) | Murrah (4.2%) | Manda (4.0%)
BUF_MANDA_0032,cleaned/buffalo/manda/manda_0032.jpg,buffalo,buffalo_manda,Manda,cow_gir,Gir,cattle,0.1885,True,False,Gir (18.9%) | Toda (9.3%) | Ongole (6.7%)
BUF_MARATHWADI_0002,cleaned/buffalo/marathwadi/marathwadi_0002.jpg,buffalo,buffalo_marathwadi,Marathwadi,cow_gir,Gir,cattle,0.1949,True,False,Gir (19.5%) | Murrah (9.6%) | Manda (8.8%)
BUF_MEHSANA_0012,cleaned/buffalo/mehsana/mehsana_0012.jpg,buffalo,buffalo_mehsana,Mehsana,buffalo_manda,Manda,buffalo,0.1744,False,True,Manda (17.4%) | Mehsana (9.1%) | Kankrej (8.6%)
BUF_MELGHATI_0002,cleaned/buffalo/melghati/melghati_0002.jpg,buffalo,buffalo_melghati,Melghati,buffalo_manda,Manda,buffalo,0.1679,False,False,Manda (16.8%) | Murrah (12.5%) | Kankrej (8.3%)
BUF_MURRAH_0009,cleaned/buffalo/murrah/murrah_0009.jpg,buffalo,buffalo_murrah,Murrah,buffalo_manda,Manda,buffalo,0.1007,False,True,Manda (10.1%) | Murrah (9.8%) | Mehsana (7.0%)
