breed_id,breed_name,species,precision,recall,f1-score,support
buffalo_banni,Banni,buffalo,0.0,0.0,0.0,1
buffalo_bargur,Bargur,buffalo,0.0,0.0,0.0,1
buffalo_bhadawari,Bhadawari,buffalo,0.5,1.0,0.6666666666666666,1
buffalo_chhattisgarhi,Chhattisgarhi,buffalo,0.0,0.0,0.0,1
buffalo_chilika,Chilika,buffalo,0.0,0.0,0.0,1
buffalo_dharwadi,Dharwadi,buffalo,0.0,0.0,0.0,1
buffalo_gojri,Gojri,buffalo,1.0,1.0,1.0,1
buffalo_gomanchali,Gomanchali,buffalo,1.0,1.0,1.0,1
buffalo_jaffarabadi,Jaffarabadi,buffalo,0.0,0.0,0.0,1
buffalo_kalahandi,Kalahandi,buffalo,0.0,0.0,0.0,1
buffalo_luit_swamp,Luit (Swamp),buffalo,0.0,0.0,0.0,1
buffalo_manah,Manah,buffalo,0.0,0.0,0.0,1
buffalo_manda,Manda,buffalo,0.4444444444444444,0.8,0.5714285714285714,5
buffalo_marathwadi,Marathwadi,buffalo,0.0,0.0,0.0,1
buffalo_mehsana,Mehsana,buffalo,0.0,0.0,0.0,1
buffalo_melghati,Melghati,buffalo,0.0,0.0,0.0,1
buffalo_murrah,Murrah,buffalo,0.2,0.5,0.2857142857142857,2
buffalo_nagpuri,Nagpuri,buffalo,1.0,1.0,1.0,2
buffalo_nili_ravi,Nili Ravi,buffalo,0.0,0.0,0.0,1
buffalo_pandharpuri,Pandharpuri,buffalo,0.0,0.0,0.0,1
buffalo_purnathadi,Purnathadi,buffalo,0.0,0.0,0.0,1
buffalo_surti,Surti,buffalo,0.5,0.3333333333333333,0.4,3
buffalo_toda,Toda,buffalo,1.0,1.0,1.0,3
cow_amritmahal,Amritmahal,cattle,0.0,0.0,0.0,1
cow_bachaur,Bachaur,cattle,0.3333333333333333,0.6666666666666666,0.4444444444444444,3
cow_badri,Badri,cattle,1.0,0.3333333333333333,0.5,3
cow_bargur,Bargur,cattle,0.0,0.0,0.0,1
cow_belahi,Belahi,cattle,0.0,0.0,0.0,1
cow_binjharpuri,Binjharpuri,cattle,0.0,0.0,0.0,1
cow_dagri,Dagri,cattle,0.0,0.0,0.0,1
cow_dangi,Dangi,cattle,0.3333333333333333,0.6666666666666666,0.4444444444444444,6
cow_deoni,Deoni,cattle,0.0,0.0,0.0,1
cow_gangatiri,Gangatiri,cattle,0.0,0.0,0.0,1
cow_gaolao,Gaolao,cattle,0.36363636363636365,0.8,0.5,5
cow_ghumusari,Ghumusari,cattle,0.0,0.0,0.0,0
cow_gir,Gir,cattle,0.3333333333333333,0.8,0.47058823529411764,5
cow_hallikar,Hallikar,cattle,0.0,0.0,0.0,1
cow_hariana,Hariana,cattle,0.0,0.0,0.0,1
cow_himachali_pahari,Himachali Pahari,cattle,0.3333333333333333,1.0,0.5,1
cow_kangayam,Kangayam,cattle,0.4,0.6666666666666666,0.5,3
cow_kankrej,Kankrej,cattle,0.6666666666666666,1.0,0.8,2
cow_kathani,Kathani,cattle,0.0,0.0,0.0,1
cow_kenkatha,Kenkatha,cattle,0.0,0.0,0.0,1
cow_khariar,Khariar,cattle,0.0,0.0,0.0,0
cow_kherigarh,Kherigarh,cattle,0.0,0.0,0.0,1
cow_khillar,Khillar,cattle,0.0,0.0,0.0,1
cow_konkan_kapila,Konkan Kapila,cattle,0.0,0.0,0.0,1
cow_koppal,Koppal,cattle,0.0,0.0,0.0,1
cow_kosali,Kosali,cattle,0.0,0.0,0.0,0
cow_krishna_valley,Krishna Valley,cattle,0.0,0.0,0.0,1
cow_ladakhi,Ladakhi,cattle,1.0,1.0,1.0,1
cow_lakhimi,Lakhimi,cattle,0.0,0.0,0.0,1
cow_mahakaushali,Mahakaushali,cattle,0.0,0.0,0.0,1
cow_malnad_gidda,Malnad Gidda,cattle,0.0,0.0,0.0,1
cow_malvi,Malvi,cattle,0.0,0.0,0.0,1
cow_masilum,Masilum,cattle,0.0,0.0,0.0,1
cow_medini,Medini,cattle,0.0,0.0,0.0,1
cow_mewati,Mewati,cattle,1.0,1.0,1.0,1
cow_motu,Motu,cattle,0.0,0.0,0.0,1
cow_nagori,Nagori,cattle,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
cow_nari,Nari,cattle,0.0,0.0,0.0,1
cow_nimari,Nimari,cattle,1.0,1.0,1.0,2
cow_ongole,Ongole,cattle,0.25,1.0,0.4,4
cow_periyar,Periyar,cattle,0.0,0.0,0.0,1
cow_poda_thurpu,Poda Thurpu,cattle,0.0,0.0,0.0,1
cow_ponwar,Ponwar,cattle,0.0,0.0,0.0,1
cow_pulikulam,Pulikulam,cattle,0.0,0.0,0.0,1
cow_punganur,Punganur,cattle,0.0,0.0,0.0,2
cow_purnea,Purnea,cattle,0.0,0.0,0.0,1
cow_rathi,Rathi,cattle,0.0,0.0,0.0,1
cow_red_kandhari,Red Kandhari,cattle,0.0,0.0,0.0,1
cow_red_sindhi,Red Sindhi,cattle,0.0,0.0,0.0,1
cow_rohilkhandi,Rohilkhandi,cattle,0.0,0.0,0.0,1
cow_sahiwal,Sahiwal,cattle,0.25,0.3333333333333333,0.2857142857142857,3
cow_sanchori,Sanchori,cattle,0.0,0.0,0.0,1
cow_shweta_kapila,Shweta Kapila,cattle,0.0,0.0,0.0,1
cow_siri,Siri,cattle,1.0,0.6666666666666666,0.8,3
cow_tharparkar,Tharparkar,cattle,0.0,0.0,0.0,2
cow_thutho,Thutho,cattle,0.0,0.0,0.0,1
cow_umarda,Umarda,cattle,0.0,0.0,0.0,1
cow_umblachery,Umblachery,cattle,0.0,0.0,0.0,1
cow_vechur,Vechur,cattle,0.1,0.3333333333333333,0.15384615384615385,3
