breed_id,breed_name,species,total_real,train_real,val_real,test_real,priority,synthetic_images_required,target_training_count,combined_total
cow_ghumusari,Ghumusari,cattle,1,1,0,0,HIGH (1-14 REAL),29,30,30
cow_khariar,Khariar,cattle,1,1,0,0,HIGH (1-14 REAL),29,30,30
cow_kosali,Kosali,cattle,1,1,0,0,HIGH (1-14 REAL),29,30,30
cow_belahi,Belahi,cattle,2,1,0,1,HIGH (1-14 REAL),29,30,31
buffalo_bhadawari,Bhadawari,buffalo,2,1,0,1,HIGH (1-14 REAL),29,30,31
cow_binjharpuri,Binjharpuri,cattle,2,1,0,1,HIGH (1-14 REAL),29,30,31
buffalo_chhattisgarhi,Chhattisgarhi,buffalo,2,1,0,1,HIGH (1-14 REAL),29,30,31
buffalo_chilika,Chilika,buffalo,2,1,0,1,HIGH (1-14 REAL),29,30,31
cow_dagri,Dagri,cattle,2,1,0,1,HIGH (1-14 REAL),29,30,31
buffalo_dharwadi,Dharwadi,buffalo,2,1,0,1,HIGH (1-14 REAL),29,30,31
buffalo_gojri,Gojri,buffalo,2,1,0,1,HIGH (1-14 REAL),29,30,31
cow_himachali_pahari,Himachali Pahari,cattle,2,1,0,1,HIGH (1-14 REAL),29,30,31
buffalo_jaffarabadi,Jaffarabadi,buffalo,2,1,0,1,HIGH (1-14 REAL),29,30,31
buffalo_kalahandi,Kalahandi,buffalo,2,1,0,1,HIGH (1-14 REAL),29,30,31
cow_kathani,Kathani,cattle,2,1,0,1,HIGH (1-14 REAL),29,30,31
cow_kenkatha,Kenkatha,cattle,2,1,0,1,HIGH (1-14 REAL),29,30,31
cow_kherigarh,Kherigarh,cattle,2,1,0,1,HIGH (1-14 REAL),29,30,31
cow_khillar,Khillar,cattle,2,1,0,1,HIGH (1-14 REAL),29,30,31
cow_konkan_kapila,Konkan Kapila,cattle,2,1,0,1,HIGH (1-14 REAL),29,30,31
cow_krishna_valley,Krishna Valley,cattle,2,1,0,1,HIGH (1-14 REAL),29,30,31
cow_lakhimi,Lakhimi,cattle,2,1,0,1,HIGH (1-14 REAL),29,30,31
buffalo_luit_swamp,Luit (Swamp),buffalo,2,1,0,1,HIGH (1-14 REAL),29,30,31
cow_mahakaushali,Mahakaushali,cattle,2,1,0,1,HIGH (1-14 REAL),29,30,31
cow_malnad_gidda,Malnad Gidda,cattle,2,1,0,1,HIGH (1-14 REAL),29,30,31
buffalo_manah,Manah,buffalo,2,1,0,1,HIGH (1-14 REAL),29,30,31
buffalo_marathwadi,Marathwadi,buffalo,2,1,0,1,HIGH (1-14 REAL),29,30,31
cow_masilum,Masilum,cattle,2,1,0,1,HIGH (1-14 REAL),29,30,31
buffalo_melghati,Melghati,buffalo,2,1,0,1,HIGH (1-14 REAL),29,30,31
cow_mewati,Mewati,cattle,2,1,0,1,HIGH (1-14 REAL),29,30,31
cow_motu,Motu,cattle,2,1,0,1,HIGH (1-14 REAL),29,30,31
buffalo_pandharpuri,Pandharpuri,buffalo,2,1,0,1,HIGH (1-14 REAL),29,30,31
cow_poda_thurpu,Poda Thurpu,cattle,2,1,0,1,HIGH (1-14 REAL),29,30,31
