image_id,relative_path,breed_id,breed_name,species,source_type,split
BUF_BUFFALO_BANNI_0001,dataset/expanded_82_breeds_v2/buffalo/buffalo_banni/banni_0001.jpg,buffalo_banni,Banni,buffalo,REAL,train
BUF_BUFFALO_BARGUR_0001,dataset/expanded_82_breeds_v2/buffalo/buffalo_bargur/bargur_0001.jpg,buffalo_bargur,Bargur,buffalo,REAL,train
BUF_BUFFALO_BARGUR_0002,dataset/expanded_82_breeds_v2/buffalo/buffalo_bargur/bargur_0002.jpg,buffalo_bargur,Bargur,buffalo,REAL,train
BUF_BUFFALO_BARGUR_0007,dataset/expanded_82_breeds_v2/buffalo/buffalo_bargur/bargur_0007.jpg,buffalo_bargur,Bargur,buffalo,REAL,train
BUF_BUFFALO_BARGUR_0004,dataset/expanded_82_breeds_v2/buffalo/buffalo_bargur/bargur_0004.jpg,buffalo_bargur,Bargur,buffalo,REAL,train
BUF_BUFFALO_BHADAWARI_0002,dataset/expanded_82_breeds_v2/buffalo/buffalo_bhadawari/bhadawari_0002.jpg,buffalo_bhadawari,Bhadawari,buffalo,REAL,train
BUF_BUFFALO_CHHATTISGARHI_0002,dataset/expanded_82_breeds_v2/buffalo/buffalo_chhattisgarhi/chhattisgarhi_0002.jpg,buffalo_chhattisgarhi,Chhattisgarhi,buffalo,REAL,train
BUF_BUFFALO_CHILIKA_0002,dataset/expanded_82_breeds_v2/buffalo/buffalo_chilika/chilika_0002.jpg,buffalo_chilika,Chilika,buffalo,REAL,train
BUF_BUFFALO_DHARWADI_0002,dataset/expanded_82_breeds_v2/buffalo/buffalo_dharwadi/dharwadi_0002.jpg,buffalo_dharwadi,Dharwadi,buffalo,REAL,train
BUF_BUFFALO_GOJRI_0002,dataset/expanded_82_breeds_v2/buffalo/buffalo_gojri/gojri_0002.jpg,buffalo_gojri,Gojri,buffalo,REAL,train
BUF_BUFFALO_GOMANCHALI_0001,dataset/expanded_82_breeds_v2/buffalo/buffalo_gomanchali/gomanchali_0001.jpg,buffalo_gomanchali,Gomanchali,buffalo,REAL,train
BUF_BUFFALO_JAFFARABADI_0002,dataset/expanded_82_breeds_v2/buffalo/buffalo_jaffarabadi/jaffarabadi_0002.jpg,buffalo_jaffarabadi,Jaffarabadi,buffalo,REAL,train
BUF_BUFFALO_KALAHANDI_0002,dataset/expanded_82_breeds_v2/buffalo/buffalo_kalahandi/kalahandi_0002.jpg,buffalo_kalahandi,Kalahandi,buffalo,REAL,train
BUF_BUFFALO_LUIT_SWAMP_0002,dataset/expanded_82_breeds_v2/buffalo/buffalo_luit_swamp/luit_swamp_0002.jpg,buffalo_luit_swamp,Luit (Swamp),buffalo,REAL,train
BUF_BUFFALO_MANAH_0002,dataset/expanded_82_breeds_v2/buffalo/buffalo_manah/manah_0002.jpg,buffalo_manah,Manah,buffalo,REAL,train
BUF_BUFFALO_MANDA_0029,dataset/expanded_82_breeds_v2/buffalo/buffalo_manda/manda_0029.jpg,buffalo_manda,Manda,buffalo,REAL,train
BUF_BUFFALO_MANDA_0017,dataset/expanded_82_breeds_v2/buffalo/buffalo_manda/manda_0017.jpg,buffalo_manda,Manda,buffalo,REAL,train
BUF_BUFFALO_MANDA_0025,dataset/expanded_82_breeds_v2/buffalo/buffalo_manda/manda_0025.jpg,buffalo_manda,Manda,buffalo,REAL,train
BUF_BUFFALO_MANDA_0019,dataset/expanded_82_breeds_v2/buffalo/buffalo_manda/manda_0019.jpg,buffalo_manda,Manda,buffalo,REAL,train
BUF_BUFFALO_MANDA_0010,dataset/expanded_82_breeds_v2/buffalo/buffalo_manda/manda_0010.jpg,buffalo_manda,Manda,buffalo,REAL,train
BUF_BUFFALO_MANDA_0011,dataset/expanded_82_breeds_v2/buffalo/buffalo_manda/manda_0011.jpg,buffalo_manda,Manda,buffalo,REAL,train
BUF_BUFFALO_MANDA_0031,dataset/expanded_82_breeds_v2/buffalo/buffalo_manda/manda_0031.jpg,buffalo_manda,Manda,buffalo,REAL,train
BUF_BUFFALO_MANDA_0026,dataset/expanded_82_breeds_v2/buffalo/buffalo_manda/manda_0026.jpg,buffalo_manda,Manda,buffalo,REAL,train
BUF_BUFFALO_MANDA_0014,dataset/expanded_82_breeds_v2/buffalo/buffalo_manda/manda_0014.jpg,buffalo_manda,Manda,buffalo,REAL,train
BUF_BUFFALO_MANDA_0001,dataset/expanded_82_breeds_v2/buffalo/buffalo_manda/manda_0001.jpg,buffalo_manda,Manda,buffalo,REAL,train
BUF_BUFFALO_MANDA_0006,dataset/expanded_82_breeds_v2/buffalo/buffalo_manda/manda_0006.jpg,buffalo_manda,Manda,buffalo,REAL,train
BUF_BUFFALO_MANDA_0018,dataset/expanded_82_breeds_v2/buffalo/buffalo_manda/manda_0018.jpg,buffalo_manda,Manda,buffalo,REAL,train
BUF_BUFFALO_MANDA_0007,dataset/expanded_82_breeds_v2/buffalo/buffalo_manda/manda_0007.jpg,buffalo_manda,Manda,buffalo,REAL,train
BUF_BUFFALO_MANDA_0015,dataset/expanded_82_breeds_v2/buffalo/buffalo_manda/manda_0015.jpg,buffalo_manda,Manda,buffalo,REAL,train
BUF_BUFFALO_MANDA_0013,dataset/expanded_82_breeds_v2/buffalo/buffalo_manda/manda_0013.jpg,buffalo_manda,Manda,buffalo,REAL,train
BUF_BUFFALO_MANDA_0024,dataset/expanded_82_breeds_v2/buffalo/buffalo_manda/manda_0024.jpg,buffalo_manda,Manda,buffalo,REAL,train
BUF_BUFFALO_MANDA_0002,dataset/expanded_82_breeds_v2/buffalo/buffalo_manda/manda_0002.jpg,buffalo_manda,Manda,buffalo,REAL,train
BUF_BUFFALO_MANDA_0003,dataset/expanded_82_breeds_v2/buffalo/buffalo_manda/manda_0003.jpg,buffalo_manda,Manda,buffalo,REAL,train
BUF_BUFFALO_MANDA_0027,dataset/expanded_82_breeds_v2/buffalo/buffalo_manda/manda_0027.jpg,buffalo_manda,Manda,buffalo,REAL,train
BUF_BUFFALO_MANDA_0004,dataset/expanded_82_breeds_v2/buffalo/buffalo_manda/manda_0004.jpg,buffalo_manda,Manda,buffalo,REAL,train
BUF_BUFFALO_MANDA_0023,dataset/expanded_82_breeds_v2/buffalo/buffalo_manda/manda_0023.jpg,buffalo_manda,Manda,buffalo,REAL,train
BUF_BUFFALO_MARATHWADI_0002,dataset/expanded_82_breeds_v2/buffalo/buffalo_marathwadi/marathwadi_0002.jpg,buffalo_marathwadi,Marathwadi,buffalo,REAL,train
BUF_BUFFALO_MEHSANA_0011,dataset/expanded_82_breeds_v2/buffalo/buffalo_mehsana/mehsana_0011.jpg,buffalo_mehsana,Mehsana,buffalo,REAL,train
BUF_BUFFALO_MEHSANA_0002,dataset/expanded_82_breeds_v2/buffalo/buffalo_mehsana/mehsana_0002.jpg,buffalo_mehsana,Mehsana,buffalo,REAL,train
BUF_BUFFALO_MEHSANA_0007,dataset/expanded_82_breeds_v2/buffalo/buffalo_mehsana/mehsana_0007.jpg,buffalo_mehsana,Mehsana,buffalo,REAL,train
