breed_name,precision,recall,f1-score,support
Banni,0.0,0.0,0.0,1.0
Bargur,0.0,0.0,0.0,1.0
Bhadawari,0.0,0.0,0.0,1.0
Chhattisgarhi,0.0,0.0,0.0,1.0
Chilika,0.0,0.0,0.0,1.0
Dharwadi,0.0,0.0,0.0,1.0
Gojri,1.0,1.0,1.0,1.0
Gomanchali,1.0,1.0,1.0,1.0
Jaffarabadi,0.0,0.0,0.0,1.0
Kalahandi,0.0,0.0,0.0,1.0
Luit (Swamp),0.0,0.0,0.0,1.0
Manah,0.0,0.0,0.0,1.0
Manda,0.42857142857142855,0.6,0.5,5.0
Marathwadi,0.0,0.0,0.0,1.0
Mehsana,0.0,0.0,0.0,1.0
Melghati,1.0,1.0,1.0,1.0
Murrah,0.3333333333333333,1.0,0.5,2.0
Nagpuri,0.6666666666666666,1.0,0.8,2.0
Nili Ravi,0.0,0.0,0.0,1.0
Pandharpuri,1.0,1.0,1.0,1.0
Purnathadi,0.0,0.0,0.0,1.0
Surti,0.2,0.3333333333333333,0.25,3.0
Toda,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
Amritmahal,0.0,0.0,0.0,1.0
Bachaur,0.25,0.3333333333333333,0.2857142857142857,3.0
Badri,1.0,0.6666666666666666,0.8,3.0
Belahi,0.0,0.0,0.0,1.0
Binjharpuri,0.0,0.0,0.0,1.0
Dagri,0.0,0.0,0.0,1.0
Dangi,0.2727272727272727,0.5,0.35294117647058826,6.0
Deoni,0.0,0.0,0.0,1.0
Gangatiri,0.0,0.0,0.0,1.0
Gaolao,0.375,0.6,0.46153846153846156,5.0
Ghumusari,0.0,0.0,0.0,0.0
Gir,0.4,0.8,0.5333333333333333,5.0
Hallikar,0.0,0.0,0.0,1.0
Hariana,0.0,0.0,0.0,1.0
Himachali Pahari,0.5,1.0,0.6666666666666666,1.0
Kangayam,0.14285714285714285,0.3333333333333333,0.2,3.0
Kankrej,0.5,0.5,0.5,2.0
Kathani,0.0,0.0,0.0,1.0
Kenkatha,0.0,0.0,0.0,1.0
Khariar,0.0,0.0,0.0,0.0
Kherigarh,0.0,0.0,0.0,1.0
Khillar,0.0,0.0,0.0,1.0
Konkan Kapila,0.0,0.0,0.0,1.0
Koppal,0.0,0.0,0.0,1.0
Kosali,0.0,0.0,0.0,0.0
Krishna Valley,0.0,0.0,0.0,1.0
Ladakhi,0.0,0.0,0.0,1.0
Lakhimi,0.0,0.0,0.0,1.0
Mahakaushali,0.0,0.0,0.0,1.0
Malnad Gidda,0.0,0.0,0.0,1.0
Malvi,0.0,0.0,0.0,1.0
Masilum,0.0,0.0,0.0,1.0
Medini,0.0,0.0,0.0,1.0
Mewati,1.0,1.0,1.0,1.0
Motu,0.0,0.0,0.0,1.0
Nagori,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
Nari,0.0,0.0,0.0,1.0
Nimari,0.6666666666666666,1.0,0.8,2.0
Ongole,0.5,0.75,0.6,4.0
Periyar,0.0,0.0,0.0,1.0
Poda Thurpu,0.0,0.0,0.0,1.0
Ponwar,0.0,0.0,0.0,1.0
Pulikulam,0.0,0.0,0.0,1.0
Punganur,0.6666666666666666,1.0,0.8,2.0
Purnea,1.0,1.0,1.0,1.0
Rathi,0.0,0.0,0.0,1.0
Red Kandhari,0.0,0.0,0.0,1.0
Red Sindhi,0.0,0.0,0.0,1.0
Rohilkhandi,0.0,0.0,0.0,1.0
Sahiwal,0.5,0.3333333333333333,0.4,3.0
Sanchori,0.0,0.0,0.0,1.0
Shweta Kapila,0.0,0.0,0.0,1.0
Siri,0.5,0.6666666666666666,0.5714285714285714,3.0
Tharparkar,1.0,0.5,0.6666666666666666,2.0
Thutho,0.0,0.0,0.0,1.0
Umarda,0.0,0.0,0.0,1.0
Umblachery,0.0,0.0,0.0,1.0
Vechur,0.16666666666666666,0.3333333333333333,0.2222222222222222,3.0
accuracy,0.36585365853658536,0.36585365853658536,0.36585365853658536,0.36585365853658536
macro avg,0.19596531517263224,0.23475609756097557,0.20622574858586334,123.0
weighted avg,0.2853614542638933,0.36585365853658536,0.3087813111485995,123.0
