synthetic_image_id,breed_id,breed_name,species,generation_method,generation_model,generation_prompt_id,generation_date,source_type,synthetic_status,quality_status,review_status,relative_path,sha256,width,height,perspective,environment,verified_coat,verified_horns
SYNTH_COW_GHUMUSARI_0003,cow_ghumusari,Ghumusari,cattle,morphological_feature_preservation_synthesis,indigenous_livestock_domain_synthesizer_v3,PRM_cow_ghumusari_head_and_horn_portrait_03,2026-09-17,SYNTHETIC,VALID_TRAINING_SAMPLE,PASSED_QC,VERIFIED_BREED_MORPHOLOGY,dataset/synthetic_82_breeds_v3/synthetic/cattle/cow_ghumusari/SYNTH_COW_GHUMUSARI_0003.jpg,672e5ca22989c194f297b030b8adb230ce51f47879a9125d2cd2fb7e094b0d4a,384,384,head_and_horn_portrait,agricultural_farm_shed,White or grey with darker shades on neck in males,"Small, curved upward and inward"
SYNTH_COW_GHUMUSARI_0001,cow_ghumusari,Ghumusari,cattle,morphological_feature_preservation_synthesis,indigenous_livestock_domain_synthesizer_v3,PRM_cow_ghumusari_lateral_full_body_01,2026-09-17,SYNTHETIC,VALID_TRAINING_SAMPLE,PASSED_QC,VERIFIED_BREED_MORPHOLOGY,dataset/synthetic_82_breeds_v3/synthetic/cattle/cow_ghumusari/SYNTH_COW_GHUMUSARI_0001.jpg,139fe786933b205134b60e4e0b98defb034f444a37ea46395371b2913510208b,384,384,lateral_full_body,rural_grazing_pasture,White or grey with darker shades on neck in males,"Small, curved upward and inward"
SYNTH_COW_GHUMUSARI_0002,cow_ghumusari,Ghumusari,cattle,morphological_feature_preservation_synthesis,indigenous_livestock_domain_synthesizer_v3,PRM_cow_ghumusari_three_quarter_profile_02,2026-09-17,SYNTHETIC,VALID_TRAINING_SAMPLE,PASSED_QC,VERIFIED_BREED_MORPHOLOGY,dataset/synthetic_82_breeds_v3/synthetic/cattle/cow_ghumusari/SYNTH_COW_GHUMUSARI_0002.jpg,3322b8da30dab9b6ea9f3f4bc570eee25d294608245e9013a368a2bac85bc6ad,384,384,three_quarter_profile,traditional_village_paddock,White or grey with darker shades on neck in males,"Small, curved upward and inward"
SYNTH_COW_GHUMUSARI_0005,cow_ghumusari,Ghumusari,cattle,morphological_feature_preservation_synthesis,indigenous_livestock_domain_synthesizer_v3,PRM_cow_ghumusari_standing_front_quarter_05,2026-09-17,SYNTHETIC,VALID_TRAINING_SAMPLE,PASSED_QC,VERIFIED_BREED_MORPHOLOGY,dataset/synthetic_82_breeds_v3/synthetic/cattle/cow_ghumusari/SYNTH_COW_GHUMUSARI_0005.jpg,9b46a620869881ef01db195685f016aaf7dfd9b45b2a905d9422d7fcc7496f04,384,384,standing_front_quarter,village_dairy_courtyard,White or grey with darker shades on neck in males,"Small, curved upward and inward"
SYNTH_COW_GHUMUSARI_0004,cow_ghumusari,Ghumusari,cattle,morphological_feature_preservation_synthesis,indigenous_livestock_domain_synthesizer_v3,PRM_cow_ghumusari_diagonal_pastoral_shot_04,2026-09-17,SYNTHETIC,VALID_TRAINING_SAMPLE,PASSED_QC,VERIFIED_BREED_MORPHOLOGY,dataset/synthetic_82_breeds_v3/synthetic/cattle/cow_ghumusari/SYNTH_COW_GHUMUSARI_0004.jpg,ce38ffe01d43b132190714b8fca6e4c78b329bdcb8b39a99a5ab39312ca4333b,384,384,diagonal_pastoral_shot,open_grassland,White or grey with darker shades on neck in males,"Small, curved upward and inward"
SYNTH_COW_GHUMUSARI_0007,cow_ghumusari,Ghumusari,cattle,morphological_feature_preservation_synthesis,indigenous_livestock_domain_synthesizer_v3,PRM_cow_ghumusari_lateral_full_body_07,2026-09-17,SYNTHETIC,VALID_TRAINING_SAMPLE,PASSED_QC,VERIFIED_BREED_MORPHOLOGY,dataset/synthetic_82_breeds_v3/synthetic/cattle/cow_ghumusari/SYNTH_COW_GHUMUSARI_0007.jpg,cb9144d6e65179e823dd013089e8f66b9b0e44ffad9fdbec7b5b90eed43bfc2e,384,384,lateral_full_body,rural_grazing_pasture,White or grey with darker shades on neck in males,"Small, curved upward and inward"
SYNTH_COW_GHUMUSARI_0006,cow_ghumusari,Ghumusari,cattle,morphological_feature_preservation_synthesis,indigenous_livestock_domain_synthesizer_v3,PRM_cow_ghumusari_elevated_lateral_view_06,2026-09-17,SYNTHETIC,VALID_TRAINING_SAMPLE,PASSED_QC,VERIFIED_BREED_MORPHOLOGY,dataset/synthetic_82_breeds_v3/synthetic/cattle/cow_ghumusari/SYNTH_COW_GHUMUSARI_0006.jpg,adee0f3450064b9c5c9738313caf224a6b92d0bf258b348f35394c2ab373f778,384,384,elevated_lateral_view,dry_pastoral_tract,White or grey with darker shades on neck in males,"Small, curved upward and inward"
SYNTH_COW_GHUMUSARI_0009,cow_ghumusari,Ghumusari,cattle,morphological_feature_preservation_synthesis,indigenous_livestock_domain_synthesizer_v3,PRM_cow_ghumusari_head_and_horn_portrait_09,2026-09-17,SYNTHETIC,VALID_TRAINING_SAMPLE,PASSED_QC,VERIFIED_BREED_MORPHOLOGY,dataset/synthetic_82_breeds_v3/synthetic/cattle/cow_ghumusari/SYNTH_COW_GHUMUSARI_0009.jpg,25049c2a25c513055d262847ada05c5d9ff177e8a0fa696a7521d82cd26b2cf8,384,384,head_and_horn_portrait,agricultural_farm_shed,White or grey with darker shades on neck in males,"Small, curved upward and inward"
SYNTH_COW_GHUMUSARI_0013,cow_ghumusari,Ghumusari,cattle,morphological_feature_preservation_synthesis,indigenous_livestock_domain_synthesizer_v3,PRM_cow_ghumusari_lateral_full_body_13,2026-09-17,SYNTHETIC,VALID_TRAINING_SAMPLE,PASSED_QC,VERIFIED_BREED_MORPHOLOGY,dataset/synthetic_82_breeds_v3/synthetic/cattle/cow_ghumusari/SYNTH_COW_GHUMUSARI_0013.jpg,9065a6540c920994833d81272abebf0ae37459cecb2065c731e682246c276243,384,384,lateral_full_body,rural_grazing_pasture,White or grey with darker shades on neck in males,"Small, curved upward and inward"
SYNTH_COW_GHUMUSARI_0011,cow_ghumusari,Ghumusari,cattle,morphological_feature_preservation_synthesis,indigenous_livestock_domain_synthesizer_v3,PRM_cow_ghumusari_standing_front_quarter_11,2026-09-17,SYNTHETIC,VALID_TRAINING_SAMPLE,PASSED_QC,VERIFIED_BREED_MORPHOLOGY,dataset/synthetic_82_breeds_v3/synthetic/cattle/cow_ghumusari/SYNTH_COW_GHUMUSARI_0011.jpg,fa9f792fc55966128c8bea3730fe136c665131de2c79d0e8256462d07c8ffd61,384,384,standing_front_quarter,village_dairy_courtyard,White or grey with darker shades on neck in males,"Small, curved upward and inward"
SYNTH_COW_GHUMUSARI_0010,cow_ghumusari,Ghumusari,cattle,morphological_feature_preservation_synthesis,indigenous_livestock_domain_synthesizer_v3,PRM_cow_ghumusari_diagonal_pastoral_shot_10,2026-09-17,SYNTHETIC,VALID_TRAINING_SAMPLE,PASSED_QC,VERIFIED_BREED_MORPHOLOGY,dataset/synthetic_82_breeds_v3/synthetic/cattle/cow_ghumusari/SYNTH_COW_GHUMUSARI_0010.jpg,76f1786a3469775b34e8d063fd4aa65558baee444a6b3087b26b2badea7de73d,384,384,diagonal_pastoral_shot,open_grassland,White or grey with darker shades on neck in males,"Small, curved upward and inward"
SYNTH_COW_GHUMUSARI_0008,cow_ghumusari,Ghumusari,cattle,morphological_feature_preservation_synthesis,indigenous_livestock_domain_synthesizer_v3,PRM_cow_ghumusari_three_quarter_profile_08,2026-09-17,SYNTHETIC,VALID_TRAINING_SAMPLE,PASSED_QC,VERIFIED_BREED_MORPHOLOGY,dataset/synthetic_82_breeds_v3/synthetic/cattle/cow_ghumusari/SYNTH_COW_GHUMUSARI_0008.jpg,227b203abfaa51ded3243e01b11c7c0409d366d98f2f2458f9915224733566ba,384,384,three_quarter_profile,traditional_village_paddock,White or grey with darker shades on neck in males,"Small, curved upward and inward"
SYNTH_COW_GHUMUSARI_0012,cow_ghumusari,Ghumusari,cattle,morphological_feature_preservation_synthesis,indigenous_livestock_domain_synthesizer_v3,PRM_cow_ghumusari_elevated_lateral_view_12,2026-09-17,SYNTHETIC,VALID_TRAINING_SAMPLE,PASSED_QC,VERIFIED_BREED_MORPHOLOGY,dataset/synthetic_82_breeds_v3/synthetic/cattle/cow_ghumusari/SYNTH_COW_GHUMUSARI_0012.jpg,fe636bd0d3af73361830060320b5b8bb034367653635d1b669df7a8142ee3acf,384,384,elevated_lateral_view,dry_pastoral_tract,White or grey with darker shades on neck in males,"Small, curved upward and inward"
SYNTH_COW_GHUMUSARI_0014,cow_ghumusari,Ghumusari,cattle,morphological_feature_preservation_synthesis,indigenous_livestock_domain_synthesizer_v3,PRM_cow_ghumusari_three_quarter_profile_14,2026-09-17,SYNTHETIC,VALID_TRAINING_SAMPLE,PASSED_QC,VERIFIED_BREED_MORPHOLOGY,dataset/synthetic_82_breeds_v3/synthetic/cattle/cow_ghumusari/SYNTH_COW_GHUMUSARI_0014.jpg,0674420b034798418192bbf0edf70215b92ca3012f75f7237196ade27525cbdb,384,384,three_quarter_profile,traditional_village_paddock,White or grey with darker shades on neck in males,"Small, curved upward and inward"
SYNTH_COW_GHUMUSARI_0018,cow_ghumusari,Ghumusari,cattle,morphological_feature_preservation_synthesis,indigenous_livestock_domain_synthesizer_v3,PRM_cow_ghumusari_elevated_lateral_view_18,2026-09-17,SYNTHETIC,VALID_TRAINING_SAMPLE,PASSED_QC,VERIFIED_BREED_MORPHOLOGY,dataset/synthetic_82_breeds_v3/synthetic/cattle/cow_ghumusari/SYNTH_COW_GHUMUSARI_0018.jpg,f474e8a1b24f60188be1b981487bb9f7b7c3991e81780ab7cc7726e409cec236,384,384,elevated_lateral_view,dry_pastoral_tract,White or grey with darker shades on neck in males,"Small, curved upward and inward"
SYNTH_COW_GHUMUSARI_0019,cow_ghumusari,Ghumusari,cattle,morphological_feature_preservation_synthesis,indigenous_livestock_domain_synthesizer_v3,PRM_cow_ghumusari_lateral_full_body_19,2026-09-17,SYNTHETIC,VALID_TRAINING_SAMPLE,PASSED_QC,VERIFIED_BREED_MORPHOLOGY,dataset/synthetic_82_breeds_v3/synthetic/cattle/cow_ghumusari/SYNTH_COW_GHUMUSARI_0019.jpg,265fcbd0a21dd4e0d9370d301fc532a699fcf0ad782ae9dd7d3c158aaf19a791,384,384,lateral_full_body,rural_grazing_pasture,White or grey with darker shades on neck in males,"Small, curved upward and inward"
