epoch,stage,train_loss,train_acc,val_loss,val_acc,learning_rate
1,1,3.9798,0.1656,3.6983,0.1739,0.001
2,1,2.8417,0.5099,3.4683,0.2754,0.001
3,1,2.2462,0.6093,3.3467,0.2899,0.001
4,1,1.8031,0.7086,3.2777,0.3043,0.001
5,1,1.5068,0.7583,3.2166,0.3333,0.001
6,1,1.2698,0.8642,3.1764,0.3043,0.001
7,1,1.0992,0.9371,3.1383,0.3188,0.001
8,1,0.9718,0.9669,3.1401,0.3188,0.001
9,1,0.8655,0.9768,3.1281,0.3188,0.001
10,1,0.7966,0.9801,3.129,0.3188,0.001
11,2,2.2266,0.5596,3.1954,0.2899,9.05463412215599e-05
12,2,1.5595,0.7649,3.2061,0.3043,6.57963412215599e-05
13,2,1.3309,0.8311,3.1754,0.3043,3.52036587784401e-05
14,2,1.1854,0.8444,3.1788,0.3043,1.0453658778440105e-05
15,2,1.0957,0.8576,3.1769,0.3188,1e-06
